"sampling_platform","year","species","port_sampled","port_biologist_initials","date_of_collection","length_cm","wt_kg","macro_maturity_code","oregon_sample_number","fish_id","ovary_id","slide_number","date_read","reader","certainty","bad_slide","x1","x2","x3","x4_1","x4_2","x5","x6","x7","x8","x9","x10","biological_maturity","functional_maturity","percent_atresia","spawning","batch_spent","x11","x12","po_fs_present_y_n","histology_notes","data_notes","port_sampler_remarks","processing_notes","individual_stage_analysis","histo_stage","bio_macro_agree"
"ODFW",2016,"Arrowtooth","Astoria","SF",2016-09-19,58,1.995806428,"3","OR160849",11,1268,1268,2018-05-31,"MH",1,"N","Y","Y","N","N","N","N","Y","Y","N","N","NA",1,1,2,"N","N","N","N","N",NA,NA,NA,NA,0,"7",1
"ODFW",2016,"Arrowtooth","Astoria","SF",2016-09-19,50,1.406136347,"3","OR160849",12,1272,1272,2018-05-31,"MH",1,"N","Y","Y","N","N","N","N","Y","Y","Y","N","NA",1,1,2,"N","N","N","N","N",NA,NA,NA,NA,0,"8",1
"ODFW",2016,"Arrowtooth","Astoria","SF",2016-09-19,44,0.771107029,"7","OR160849",7,1273,1273,2018-05-31,"MH",1,"N","Y","Y","N","N","N","Y","Y","N","N","N","NA",1,1,20,"N","N","N","N","N","a portion  of mature oocytes in early atresia",NA,NA,NA,0,"6",1
"ODFW",2016,"Arrowtooth","Astoria","SF",2016-09-19,50,1.133980925,"3","OR160849",20,1275,1275,2018-05-31,"MH",1,"N","Y","Y","N","N","N","Y","Y","Y","N","N","NA",1,1,5,"N","N","N","N","N",NA,NA,NA,NA,0,"7",1
"ODFW",2016,"Arrowtooth","Astoria","SF",2016-09-19,63,2.358680324,"3","OR160849",2,1276,1276,2018-05-31,"MH",1,"N","Y","Y","N","N","N","N","Y","Y","Y","N","NA",1,1,2,"N","N","N","N","N",NA,NA,NA,NA,0,"8",1
"ODFW",2016,"Arrowtooth","Astoria","SF",2016-09-19,51,1.224699399,"3","OR160849",9,1277,1277,2018-05-31,"MH",1,"N","Y","Y","N","N","N","N","Y","Y","N","N","NA",1,1,2,"N","N","N","N","N",NA,NA,NA,NA,0,"7",1
"ODFW",2016,"Arrowtooth","Astoria","SF",2016-09-19,52,1.406136347,"1","OR160849",22,1278,1278,2018-05-31,"MH",1,"N","Y","Y","Y","Y","N","N","N","N","N","N","NA",1,0,5,"N","N","N","N","N","Only a couple of oocyte with very early yolk",NA,NA,NA,0,"4_1",0
"ODFW",2016,"Arrowtooth","Astoria","SF",2016-09-19,63,2.902991168,"3","OR160849",13,1284,1284,2018-05-31,"MH",1,"N","Y","Y","N","N","N","N","N","Y","Y","N","NA",1,1,2,"N","N","N","N","N",NA,NA,NA,NA,0,"8",1
"ODFW",2016,"Arrowtooth","Astoria","SF",2016-09-19,52,1.451495584,"3","OR160849",10,1296,1296,2018-05-31,"MH",1,"N","Y","Y","N","N","N","N","N","Y","Y","N","NA",1,1,1,"N","N","N","N","N",NA,NA,NA,NA,0,"8",1
"ODFW",2016,"Arrowtooth","Astoria","SF",2016-09-19,50,1.36077711,"3","OR160849",18,1303,1303,2018-05-31,"MH",1,"N","Y","Y","N","N","N","N","Y","Y","N","N","NA",1,1,2,"N","N","N","N","N",NA,NA,NA,NA,0,"7",1
"ODFW",2016,"Arrowtooth","Astoria","SF",2016-09-19,61,2.676194983,"3","OR160849",6,1304,1304,2018-05-31,"MH",1,"N","Y","Y","N","N","N","Y","Y","Y","N","N","NA",1,1,2,"N","N","N","N","N",NA,NA,NA,NA,0,"7",1
"ODFW",2016,"Arrowtooth","Astoria","SF",2016-09-19,50,1.179340162,"3","OR160849",5,1308,1308,2018-05-31,"MH",1,"N","Y","Y","N","N","N","N","Y","Y","N","N","NA",1,1,10,"N","N","N","N","N",NA,NA,NA,NA,0,"7",1
"ODFW",2016,"Arrowtooth","Astoria","SF",2016-09-19,73,3.810175908,"3","OR160849",25,1315,1315,2018-05-31,"MH",1,"N","Y","Y","N","N","N","Y","Y","N","N","N","NA",1,1,5,"N","N","N","N","N",NA,NA,NA,NA,0,"6",1
"ODFW",2016,"Arrowtooth","Astoria","SF",2016-09-19,61,2.26796185,"3","OR160849",1,1320,1320,2018-05-31,"MH",1,"N","Y","Y","N","N","N","N","Y","Y","N","N","NA",1,1,2,"N","N","N","N","N",NA,NA,NA,NA,0,"7",1
