"x","program","year","species","port_sampled","port_biologist_initials","date_of_collection","vessel_name","length_cm","weight_lbs","weight_kg","macro_maturity_code","oregon_sample_number","fish_id_number","ovary_id_number","slide_number","date_read","reader","certainty","bad_slide","x1","x2","x3","x4_1","x4_2","x5","x6","x7","x8","x9","x10","biological_maturity","functional_maturity","percent_atresia","spawning","x11","po_fs_present_y_n","x12","histology_notes","data_notes","port_sampler_remarks","processing_notes","histo_stage","bio_macro_agree"
93,"ODFW",2016,"Canary RF","Newport","JSM","2016-11-19",NA,55,NA,2.902991168,3,"OR1652246",5,950,NA,"2017-10-25","MH",1,"N","Y","Y","Y","N","N","N","Y","Y","Y","N","N",1,1,1,"N","N","N","N",NA,NA,NA,NA,"8",1
94,"ODFW",2016,"Canary RF","Newport","JSM","2016-11-19",NA,52,NA,2.404039561,3,"OR1652246",14,951,NA,"2017-10-25","MH",1,"N","Y","Y","Y","N","N","N","Y","Y","Y","N","N",1,1,1,"N","N","N","N",NA,NA,NA,NA,"8",1
95,"ODFW",2016,"Canary RF","Newport","JSM","2016-11-19",NA,51,NA,2.404039561,3,"OR1652246",17,955,NA,"2017-10-25","MH",1,"N","Y","Y","Y","N","N","N","N","Y","Y","N","N",1,1,1,"N","N","N","N",NA,NA,NA,NA,"8",1
96,"ODFW",2016,"Canary RF","Newport","JSM","2016-11-19",NA,43,NA,1.451495584,3,"OR1652246",7,958,NA,"2017-10-25","MH",1,"N","Y","Y","Y","Y","Y","N","N","N","N","N","N",1,0,50,"N","N","N","N","Dummy run, was being aborted",NA,NA,NA,"4_2",1
97,"ODFW",2016,"Canary RF","Newport","JSM","2016-11-19",NA,59,NA,3.356583538,3,"OR1652246",27,979,NA,"2017-10-25","MH",1,"N","Y","Y","Y","N","N","N","Y","Y","N","N","N",1,1,1,"N","N","N","N",NA,NA,NA,NA,"7",1
98,"ODFW",2016,"Canary RF","Newport","JSM","2016-10-21",NA,43,NA,1.36077711,3,"OR1651973",1,1011,NA,"2017-10-25","MH",1,"N","Y","Y","Y","N","N","N","N","N","N","N","N",0,0,0,"N","N","N","N",NA,NA,NA,NA,"3",0
99,"ODFW",2016,"Canary RF","Newport","JSM","2016-11-19",NA,41,NA,1.315417873,2,"OR1652246",20,1023,NA,"2017-10-25","MH",1,"N","Y","Y","Y","Y","N","N","N","N","N","N","N",1,0,5,"N","N","N","N",NA,NA,NA,NA,"4_1",0
100,"ODFW",2016,"Canary RF","Newport","JSM","2016-11-19",NA,51,NA,2.358680324,3,"OR1652246",29,1040,NA,"2017-10-25","MH",1,"N","Y","Y","Y","N","N","N","Y","Y","Y","N","N",1,1,1,"N","N","N","N",NA,NA,NA,NA,"8",1
101,"ODFW",2016,"Canary RF","Newport","JSM","2016-11-19",NA,51,NA,2.404039561,3,"OR1652246",21,1042,NA,"2017-10-25","MH",1,"N","Y","Y","Y","N","N","N","Y","Y","Y","N","N",1,1,1,"N","N","N","N",NA,NA,NA,NA,"8",1
102,"ODFW",2016,"Canary RF","Astoria","CR","2016-10-12",NA,27,NA,0.317514659,1,"OR1651844",3,1089,NA,"2017-10-25","MH",1,"N","Y","Y","Y","N","N","N","N","N","N","N","N",0,0,2,"N","N","N","N",NA,NA,NA,NA,"3",1
103,"ODFW",2016,"Canary RF","Astoria","CR","2016-10-12",NA,47,NA,1.723651006,3,"OR1651844",2,1093,NA,"2017-10-25","MH",1,"N","Y","Y","Y","N","N","Y","Y","Y","N","N","N",1,1,1,"N","N","N","N",NA,NA,NA,NA,"7",1
104,"ODFW",2016,"Canary RF","Astoria","CR","2016-10-12",NA,34,NA,0.680388555,2,"OR1651844",1,1097,NA,"2017-10-25","MH",1,"N","Y","Y","Y","N","N","N","N","N","N","N","N",0,0,2,"N","N","N","N",NA,NA,NA,NA,"3",1
105,"ODFW",2016,"Canary RF","Astoria","CR","2016-10-06",NA,54,NA,2.540117272,3,"OR160922",1,1130,NA,"2017-10-25","MH",1,"N","Y","Y","Y","N","N","Y","Y","Y","N","N","N",1,1,2,"N","N","N","N",NA,NA,NA,NA,"7",1
106,"ODFW",2016,"Canary RF","Astoria","KL","2016-10-24",NA,55,NA,3.129787353,3,"OR1652001",13,1132,NA,"2017-10-25","MH",1,"N","Y","Y","Y","N","N","Y","Y","Y","N","N","N",1,1,1,"N","N","N","N",NA,NA,NA,NA,"7",1
107,"ODFW",2016,"Canary RF","Astoria","KL","2016-10-24",NA,36,NA,0.861825503,3,"OR1652001",7,1134,NA,"2017-10-25","MH",1,"N","Y","Y","Y","Y","N","N","N","N","N","N","N",1,0,5,"N","N","N","N",NA,NA,NA,NA,"4_1",1
108,"ODFW",2016,"Canary RF","Astoria","KL","2016-10-24",NA,42,NA,1.315417873,7,"OR1652001",2,1138,NA,"2017-10-25","MH",1,"N","Y","Y","Y","Y","N","N","N","N","N","N","N",1,0,5,"N","N","N","N","Early vitellogenesis, had not spawned previously, some EV oocytes in atresia",NA,NA,NA,"4_1",1
109,"ODFW",2016,"Canary RF","Astoria","KL","2016-10-24",NA,53,NA,2.72155422,3,"OR1652001",1,1146,NA,"2017-10-25","MH",1,"N","Y","Y","Y","N","N","N","Y","Y","Y","N","N",1,1,1,"N","N","N","N",NA,NA,NA,NA,"8",1
110,"ODFW",2016,"Canary RF","Astoria","KL","2016-10-24",NA,37,NA,1.043262451,3,"OR1652001",5,1150,NA,"2017-10-25","MH",1,"N","Y","Y","Y","Y","N","N","N","N","N","N","N",1,0,5,"N","N","N","N",NA,NA,NA,NA,"4_1",1
111,"ODFW",2016,"Canary RF","Astoria","KL","2016-10-24",NA,37,NA,0.952543977,7,"OR1652001",6,1158,NA,"2017-10-25","MH",1,"N","Y","Y","Y","N","N","N","N","N","N","N","N",0,0,5,"N","N","N","N","Had not spawned previously, some larger oocytes in atresia",NA,NA,NA,"3",0
112,"ODFW",2016,"Canary RF","Astoria","KL","2016-10-24",NA,46,NA,1.81436948,3,"OR1652001",10,1166,NA,"2017-10-25","MH",1,"N","Y","Y","Y","Y","N","N","N","N","N","N","N",1,0,20,"N","N","N","N",NA,NA,NA,NA,"4_1",1
113,"ODFW",2017,"Canary RF","Port Orford","LG","2017-02-23",NA,33,NA,0.589670081,7,"OR1752962",1,1250,NA,"2017-10-25","MH",1,"N","Y","Y","Y","N","N","N","N","N","N","N","N",0,0,1,"N","N","N","N","Immature, had not spawned previously",NA,NA,NA,"3",0
